x,y,state
6.475,-9.905,unknown
6.545,-9.905,unknown
6.615,-9.905,unknown
6.685,-9.905,unknown
6.755,-9.905,unknown
6.825,-9.905,unknown
6.895,-9.905,unknown
6.965,-9.905,unknown
7.035,-9.905,unknown
7.105,-9.905,unknown
7.175,-9.905,unknown
7.245,-9.905,unknown
7.315,-9.905,unknown
7.385,-9.905,unknown
7.455,-9.905,unknown
7.525,-9.905,unknown
7.595,-9.905,unknown
7.665,-9.905,unknown
7.735,-9.905,unknown
7.805,-9.905,unknown
7.875,-9.905,unknown
7.945,-9.905,unknown
8.015,-9.905,unknown
8.085,-9.905,unknown
8.155,-9.905,unknown
8.225,-9.905,unknown
8.295,-9.905,unknown
8.365,-9.905,unknown
8.435,-9.905,unknown
8.505,-9.905,unknown
8.575,-9.905,unknown
8.645,-9.905,unknown
8.715,-9.905,unknown
8.785,-9.905,unknown
8.855,-9.905,unknown
8.925,-9.905,unknown
8.995,-9.905,unknown
9.065,-9.905,unknown
9.135,-9.905,unknown
9.205,-9.905,unknown
9.275,-9.905,unknown
9.345,-9.905,unknown
9.415,-9.905,unknown
9.485,-9.905,unknown
9.555,-9.905,unknown
9.625,-9.905,unknown
9.695,-9.905,unknown
9.765,-9.905,unknown
9.835,-9.905,unknown
9.905,-9.905,unknown
9.975,-9.905,unknown
-9.905,-9.835,unknown
-9.835,-9.835,unknown
-9.765,-9.835,unknown
-9.695,-9.835,unknown
-9.625,-9.835,unknown
-9.555,-9.835,unknown
-9.485,-9.835,unknown
-9.415,-9.835,unknown
-9.345,-9.835,unknown
-9.275,-9.835,unknown
-9.205,-9.835,unknown
-9.135,-9.835,unknown
-9.065,-9.835,unknown
-8.995,-9.835,unknown
-8.925,-9.835,unknown
-8.855,-9.835,unknown
-8.785,-9.835,unknown
-8.715,-9.835,unknown
-8.645,-9.835,unknown
-8.575,-9.835,unknown
-8.505,-9.835,unknown
-8.435,-9.835,unknown
-8.365,-9.835,unknown
-8.295,-9.835,unknown
-8.225,-9.835,unknown
-8.155,-9.835,unknown
-8.085,-9.835,unknown
-8.015,-9.835,unknown
-7.945,-9.835,unknown
-7.875,-9.835,unknown
-7.805,-9.835,unknown
-7.735,-9.835,unknown
-7.665,-9.835,unknown
-7.595,-9.835,unknown
-7.525,-9.835,unknown
-7.455,-9.835,unknown
-7.385,-9.835,unknown
-7.315,-9.835,unknown
-7.245,-9.835,unknown
-7.175,-9.835,unknown
-7.105,-9.835,unknown
-7.035,-9.835,unknown
-6.965,-9.835,unknown
-6.895,-9.835,unknown
-6.825,-9.835,unknown
-6.755,-9.835,unknown
-6.685,-9.835,unknown
-6.615,-9.835,unknown
-6.545,-9.835,unknown
-6.475,-9.835,unknown
-6.405,-9.835,unknown
-6.335,-9.835,unknown
-6.265,-9.835,unknown
-6.195,-9.835,unknown
-6.125,-9.835,unknown
-6.055,-9.835,unknown
-5.985,-9.835,unknown
-5.915,-9.835,unknown
-5.845,-9.835,unknown
-5.775,-9.835,unknown
-5.705,-9.835,unknown
-5.635,-9.835,unknown
-5.565,-9.835,unknown
-5.495,-9.835,unknown
-5.425,-9.835,unknown
-5.355,-9.835,unknown
-5.285,-9.835,unknown
-5.215,-9.835,unknown
-5.145,-9.835,unknown
-5.075,-9.835,unknown
-5.005,-9.835,unknown
-4.935,-9.835,unknown
-4.865,-9.835,unknown
-4.795,-9.835,unknown
-4.725,-9.835,unknown
-4.655,-9.835,unknown
-4.585,-9.835,unknown
-4.515,-9.835,unknown
-4.445,-9.835,unknown
-4.375,-9.835,unknown
-4.305,-9.835,unknown
-4.235,-9.835,unknown
-4.165,-9.835,unknown
-4.095,-9.835,unknown
-4.025,-9.835,unknown
-3.955,-9.835,unknown
-3.885,-9.835,unknown
-3.815,-9.835,unknown
-3.745,-9.835,unknown
-3.675,-9.835,unknown
-3.605,-9.835,unknown
-3.535,-9.835,unknown
-3.465,-9.835,unknown
-3.395,-9.835,unknown
-3.325,-9.835,unknown
-3.255,-9.835,unknown
-3.185,-9.835,unknown
-3.115,-9.835,unknown
-3.045,-9.835,unknown
-2.975,-9.835,unknown
-2.905,-9.835,unknown
-2.835,-9.835,unknown
-2.765,-9.835,unknown
-2.695,-9.835,unknown
-2.625,-9.835,unknown
-2.555,-9.835,unknown
-2.485,-9.835,unknown
-2.415,-9.835,unknown
-2.345,-9.835,unknown
-2.275,-9.835,unknown
-2.205,-9.835,unknown
-2.135,-9.835,unknown
-2.065,-9.835,unknown
-1.995,-9.835,unknown
-1.925,-9.835,unknown
-1.855,-9.835,unknown
-1.785,-9.835,unknown
-1.715,-9.835,unknown
-1.645,-9.835,unknown
-1.575,-9.835,unknown
-1.505,-9.835,unknown
-1.435,-9.835,unknown
-1.365,-9.835,unknown
-1.295,-9.835,unknown
-1.225,-9.835,unknown
-1.155,-9.835,unknown
-1.085,-9.835,unknown
-1.015,-9.835,unknown
-0.945,-9.835,unknown
-0.875,-9.835,unknown
-0.805,-9.835,unknown
-0.735,-9.835,unknown
-0.665,-9.835,unknown
-0.595,-9.835,unknown
-0.525,-9.835,unknown
-0.455,-9.835,unknown
-0.385,-9.835,unknown
-0.315,-9.835,unknown
-0.245,-9.835,unknown
-0.175,-9.835,unknown
-0.105,-9.835,unknown
-0.035,-9.835,unknown
0.035,-9.835,unknown
0.105,-9.835,unknown
0.175,-9.835,unknown
0.245,-9.835,unknown
0.315,-9.835,unknown
0.385,-9.835,unknown
0.455,-9.835,unknown
0.525,-9.835,unknown
0.595,-9.835,unknown
0.665,-9.835,unknown
0.735,-9.835,unknown
0.805,-9.835,unknown
0.875,-9.835,unknown
0.945,-9.835,unknown
1.015,-9.835,unknown
1.085,-9.835,unknown
1.155,-9.835,unknown
1.225,-9.835,unknown
1.295,-9.835,unknown
1.365,-9.835,unknown
1.435,-9.835,unknown
1.505,-9.835,unknown
1.575,-9.835,unknown
1.645,-9.835,unknown
1.715,-9.835,unknown
1.785,-9.835,unknown
1.855,-9.835,unknown
1.925,-9.835,unknown
1.995,-9.835,unknown
2.065,-9.835,unknown
2.135,-9.835,unknown
2.205,-9.835,unknown
2.275,-9.835,unknown
2.345,-9.835,unknown
2.415,-9.835,unknown
2.485,-9.835,unknown
2.555,-9.835,unknown
2.625,-9.835,unknown
2.695,-9.835,unknown
2.765,-9.835,unknown
2.835,-9.835,unknown
2.905,-9.835,unknown
2.975,-9.835,unknown
3.045,-9.835,unknown
3.115,-9.835,unknown
3.185,-9.835,unknown
3.255,-9.835,unknown
3.325,-9.835,unknown
3.395,-9.835,unknown
3.465,-9.835,unknown
3.535,-9.835,unknown
3.605,-9.835,unknown
3.675,-9.835,unknown
3.745,-9.835,unknown
3.815,-9.835,unknown
3.885,-9.835,unknown
3.955,-9.835,unknown
4.025,-9.835,unknown
4.095,-9.835,unknown
4.165,-9.835,unknown
4.235,-9.835,unknown
4.305,-9.835,unknown
4.375,-9.835,unknown
4.445,-9.835,unknown
4.515,-9.835,unknown
4.585,-9.835,unknown
4.655,-9.835,unknown
4.725,-9.835,unknown
4.795,-9.835,unknown
4.865,-9.835,unknown
4.935,-9.835,unknown
5.005,-9.835,unknown
5.075,-9.835,unknown
5.145,-9.835,unknown
5.215,-9.835,unknown
5.285,-9.835,unknown
5.355,-9.835,unknown
5.425,-9.835,unknown
5.495,-9.835,unknown
5.565,-9.835,unknown
5.635,-9.835,unknown
5.705,-9.835,unknown
5.775,-9.835,unknown
5.845,-9.835,unknown
5.915,-9.835,unknown
5.985,-9.835,unknown
6.055,-9.835,unknown
6.125,-9.835,unknown
6.195,-9.835,unknown
6.265,-9.835,unknown
6.335,-9.835,unknown
6.405,-9.835,unknown
6.475,-9.835,unknown
6.545,-9.835,unknown
6.615,-9.835,unknown
6.685,-9.835,unknown
6.755,-9.835,unknown
6.825,-9.835,unknown
6.895,-9.835,unknown
6.965,-9.835,unknown
7.035,-9.835,unknown
7.105,-9.835,unknown
7.175,-9.835,unknown
7.245,-9.835,unknown
7.315,-9.835,unknown
7.385,-9.835,unknown
7.455,-9.835,unknown
7.525,-9.835,unknown
7.595,-9.835,unknown
7.665,-9.835,unknown
7.735,-9.835,unknown
7.805,-9.835,unknown
7.875,-9.835,unknown
7.945,-9.835,unknown
8.015,-9.835,unknown
8.085,-9.835,unknown
8.155,-9.835,unknown
8.225,-9.835,unknown
8.295,-9.835,unknown
8.365,-9.835,unknown
8.435,-9.835,unknown
8.505,-9.835,unknown
8.575,-9.835,unknown
8.645,-9.835,unknown
8.715,-9.835,unknown
8.785,-9.835,unknown
8.855,-9.835,unknown
8.925,-9.835,unknown
8.995,-9.835,unknown
9.065,-9.835,unknown
9.135,-9.835,unknown
9.205,-9.835,unknown
9.275,-9.835,unknown
9.345,-9.835,unknown
9.415,-9.835,unknown
9.485,-9.835,unknown
9.555,-9.835,unknown
9.625,-9.835,unknown
9.695,-9.835,unknown
9.765,-9.835,unknown
9.835,-9.835,unknown
9.905,-9.835,unknown
9.975,-9.835,unknown
-9.905,-9.765,unknown
-9.835,-9.765,unknown
-9.765,-9.765,unknown
-9.695,-9.765,unknown
-9.625,-9.765,unknown
-9.555,-9.765,unknown
-9.485,-9.765,unknown
-9.415,-9.765,unknown
-9.345,-9.765,unknown
-9.275,-9.765,unknown
-9.205,-9.765,unknown
-9.135,-9.765,unknown
-9.065,-9.765,unknown
-8.995,-9.765,unknown
-8.925,-9.765,unknown
-8.855,-9.765,unknown
-8.785,-9.765,unknown
-8.715,-9.765,unknown
-8.645,-9.765,unknown
-8.575,-9.765,unknown
-8.505,-9.765,unknown
-8.435,-9.765,unknown
-8.365,-9.765,unknown
-8.295,-9.765,unknown
-8.225,-9.765,unknown
-8.155,-9.765,unknown
-8.085,-9.765,unknown
-8.015,-9.765,unknown
-7.945,-9.765,unknown
-7.875,-9.765,unknown
-7.805,-9.765,unknown
-7.735,-9.765,unknown
-7.665,-9.765,unknown
-7.595,-9.765,unknown
-7.525,-9.765,unknown
-7.455,-9.765,unknown
-7.385,-9.765,unknown
-7.315,-9.765,unknown
-7.245,-9.765,unknown
-7.175,-9.765,unknown
-7.105,-9.765,unknown
-7.035,-9.765,unknown
-6.965,-9.765,unknown
-6.895,-9.765,unknown
-6.825,-9.765,unknown
-6.755,-9.765,unknown
-6.685,-9.765,unknown
-6.615,-9.765,unknown
-6.545,-9.765,unknown
-6.475,-9.765,unknown
-6.405,-9.765,unknown
-6.335,-9.765,unknown
-6.265,-9.765,unknown
-6.195,-9.765,unknown
-6.125,-9.765,unknown
-6.055,-9.765,unknown
-5.985,-9.765,unknown
-5.915,-9.765,unknown
-5.845,-9.765,unknown
-5.775,-9.765,unknown
-5.705,-9.765,unknown
-5.635,-9.765,unknown
-5.565,-9.765,unknown
-5.495,-9.765,unknown
-5.425,-9.765,unknown
-5.355,-9.765,unknown
-5.285,-9.765,unknown
-5.215,-9.765,unknown
-5.145,-9.765,unknown
-5.075,-9.765,unknown
-5.005,-9.765,unknown
-4.935,-9.765,unknown
-4.865,-9.765,unknown
-4.795,-9.765,unknown
-4.725,-9.765,unknown
-4.655,-9.765,unknown
-4.585,-9.765,unknown
-4.515,-9.765,unknown
-4.445,-9.765,unknown
-4.375,-9.765,unknown
-4.305,-9.765,unknown
-4.235,-9.765,unknown
-4.165,-9.765,unknown
-4.095,-9.765,unknown
-4.025,-9.765,unknown
-3.955,-9.765,unknown
-3.885,-9.765,unknown
-3.815,-9.765,unknown
-3.745,-9.765,unknown
-3.675,-9.765,unknown
-3.605,-9.765,unknown
-3.535,-9.765,unknown
-3.465,-9.765,unknown
-3.395,-9.765,unknown
-3.325,-9.765,unknown
-3.255,-9.765,unknown
-3.185,-9.765,unknown
-3.115,-9.765,unknown
-3.045,-9.765,unknown
-2.975,-9.765,unknown
-2.905,-9.765,unknown
-2.835,-9.765,unknown
-2.765,-9.765,unknown
-2.695,-9.765,unknown
-2.625,-9.765,unknown
-2.555,-9.765,unknown
-2.485,-9.765,unknown
-2.415,-9.765,unknown
-2.345,-9.765,unknown
-2.275,-9.765,unknown
-2.205,-9.765,unknown
-2.135,-9.765,unknown
-2.065,-9.765,unknown
-1.995,-9.765,unknown
-1.925,-9.765,unknown
-1.855,-9.765,unknown
-1.785,-9.765,unknown
-1.715,-9.765,unknown
-1.645,-9.765,unknown
-1.575,-9.765,unknown
-1.505,-9.765,unknown
-1.435,-9.765,unknown
-1.365,-9.765,unknown
-1.295,-9.765,unknown
-1.225,-9.765,unknown
-1.155,-9.765,unknown
-1.085,-9.765,unknown
-1.015,-9.765,unknown
-0.945,-9.765,unknown
-0.875,-9.765,unknown
-0.805,-9.765,unknown
-0.735,-9.765,unknown
-0.665,-9.765,unknown
-0.595,-9.765,unknown
-0.525,-9.765,unknown
-0.455,-9.765,unknown
-0.385,-9.765,unknown
-0.315,-9.765,unknown
-0.245,-9.765,unknown
-0.175,-9.765,unknown
-0.105,-9.765,unknown
-0.035,-9.765,unknown
0.035,-9.765,unknown
0.105,-9.765,unknown
0.175,-9.765,unknown
0.245,-9.765,unknown
0.315,-9.765,unknown
0.385,-9.765,unknown
0.455,-9.765,unknown
0.525,-9.765,unknown
0.595,-9.765,unknown
0.665,-9.765,unknown
0.735,-9.765,unknown
0.805,-9.765,unknown
0.875,-9.765,unknown
0.945,-9.765,unknown
1.015,-9.765,unknown
1.085,-9.765,unknown
1.155,-9.765,unknown
1.225,-9.765,unknown
1.295,-9.765,unknown
1.365,-9.765,unknown
1.435,-9.765,unknown
1.505,-9.765,unknown
1.575,-9.765,unknown
1.645,-9.765,unknown
1.715,-9.765,unknown
1.785,-9.765,unknown
1.855,-9.765,unknown
1.925,-9.765,unknown
1.995,-9.765,unknown
2.065,-9.765,unknown
2.135,-9.765,unknown
2.205,-9.765,unknown
2.275,-9.765,unknown
2.345,-9.765,unknown
2.415,-9.765,unknown
2.485,-9.765,unknown
2.555,-9.765,unknown
2.625,-9.765,unknown
2.695,-9.765,unknown
2.765,-9.765,unknown
2.835,-9.765,unknown
2.905,-9.765,unknown
2.975,-9.765,unknown
3.045,-9.765,unknown
3.115,-9.765,unknown
3.185,-9.765,unknown
3.255,-9.765,unknown
3.325,-9.765,unknown
3.395,-9.765,unknown
3.465,-9.765,unknown
3.535,-9.765,unknown
3.605,-9.765,unknown
3.675,-9.765,unknown
3.745,-9.765,unknown
3.815,-9.765,unknown
3.885,-9.765,unknown
3.955,-9.765,unknown
4.025,-9.765,unknown
4.095,-9.765,unknown
4.165,-9.765,unknown
4.235,-9.765,unknown
4.305,-9.765,unknown
4.375,-9.765,unknown
4.445,-9.765,unknown
4.515,-9.765,unknown
4.585,-9.765,unknown
4.655,-9.765,unknown
4.725,-9.765,unknown
4.795,-9.765,unknown
4.865,-9.765,unknown
4.935,-9.765,unknown
5.005,-9.765,unknown
5.075,-9.765,unknown
5.145,-9.765,unknown
5.215,-9.765,unknown
5.285,-9.765,unknown
5.355,-9.765,unknown
5.425,-9.765,unknown
5.495,-9.765,unknown
5.565,-9.765,unknown
5.635,-9.765,unknown
5.705,-9.765,unknown
5.775,-9.765,unknown
5.845,-9.765,unknown
5.915,-9.765,unknown
5.985,-9.765,unknown
6.055,-9.765,unknown
6.125,-9.765,unknown
6.195,-9.765,unknown
6.265,-9.765,unknown
6.335,-9.765,unknown
6.405,-9.765,unknown
6.475,-9.765,unknown
6.545,-9.765,unknown
6.615,-9.765,unknown
6.685,-9.765,unknown
6.755,-9.765,unknown
6.825,-9.765,unknown
6.895,-9.765,unknown
6.965,-9.765,unknown
7.035,-9.765,unknown
7.105,-9.765,unknown
7.175,-9.765,unknown
7.245,-9.765,unknown
7.315,-9.765,unknown
7.385,-9.765,unknown
7.455,-9.765,unknown
7.525,-9.765,unknown
7.595,-9.765,unknown
7.665,-9.765,unknown
7.735,-9.765,unknown
7.805,-9.765,unknown
7.875,-9.765,unknown
7.945,-9.765,unknown
8.015,-9.765,unknown
8.085,-9.765,unknown
8.155,-9.765,unknown
8.225,-9.765,unknown
8.295,-9.765,unknown
8.365,-9.765,unknown
8.435,-9.765,unknown
8.505,-9.765,unknown
8.575,-9.765,unknown
8.645,-9.765,unknown
8.715,-9.765,unknown
8.785,-9.765,unknown
8.855,-9.765,unknown
8.925,-9.765,unknown
8.995,-9.765,unknown
9.065,-9.765,unknown
9.135,-9.765,unknown
9.205,-9.765,unknown
9.275,-9.765,unknown
9.345,-9.765,unknown
9.415,-9.765,unknown
9.485,-9.765,unknown
9.555,-9.765,unknown
9.625,-9.765,unknown
9.695,-9.765,unknown
9.765,-9.765,unknown
9.835,-9.765,unknown
9.905,-9.765,unknown
9.975,-9.765,unknown
-9.905,-9.695,unknown
-9.835,-9.695,unknown
-9.765,-9.695,unknown
-9.695,-9.695,unknown
-9.625,-9.695,unknown
-9.555,-9.695,unknown
-9.485,-9.695,unknown
-9.415,-9.695,unknown
-9.345,-9.695,unknown
-9.275,-9.695,unknown
-9.205,-9.695,unknown
-9.135,-9.695,unknown
-9.065,-9.695,unknown
-8.995,-9.695,unknown
-8.925,-9.695,unknown
-8.855,-9.695,unknown
-8.785,-9.695,unknown
-8.715,-9.695,unknown
-8.645,-9.695,unknown
-8.575,-9.695,unknown
-8.505,-9.695,unknown
-8.435,-9.695,unknown
-8.365,-9.695,unknown
-8.295,-9.695,unknown
-8.225,-9.695,unknown
-8.155,-9.695,unknown
-8.085,-9.695,unknown
-8.015,-9.695,unknown
-7.945,-9.695,unknown
-7.875,-9.695,unknown
-7.805,-9.695,unknown
-7.735,-9.695,unknown
-7.665,-9.695,unknown
-7.595,-9.695,unknown
-7.525,-9.695,unknown
-7.455,-9.695,unknown
-7.385,-9.695,unknown
-7.315,-9.695,unknown
-7.245,-9.695,unknown
-7.175,-9.695,unknown
-7.105,-9.695,unknown
-7.035,-9.695,unknown
-6.965,-9.695,unknown
-6.895,-9.695,unknown
-6.825,-9.695,unknown
-6.755,-9.695,unknown
-6.685,-9.695,unknown
-6.615,-9.695,unknown
-6.545,-9.695,unknown
-6.475,-9.695,unknown
-6.405,-9.695,unknown
-6.335,-9.695,unknown
-6.265,-9.695,unknown
-6.195,-9.695,unknown
-6.125,-9.695,unknown
-6.055,-9.695,unknown
-5.985,-9.695,unknown
-5.915,-9.695,unknown
-5.845,-9.695,unknown
-5.775,-9.695,unknown
-5.705,-9.695,unknown
-5.635,-9.695,unknown
-5.565,-9.695,unknown
-5.495,-9.695,unknown
-5.425,-9.695,unknown
-5.355,-9.695,unknown
-5.285,-9.695,unknown
-5.215,-9.695,unknown
-5.145,-9.695,unknown
-5.075,-9.695,unknown
-5.005,-9.695,unknown
-4.935,-9.695,unknown
-4.865,-9.695,unknown
-4.795,-9.695,unknown
-4.725,-9.695,unknown
-4.655,-9.695,unknown
-4.585,-9.695,unknown
-4.515,-9.695,unknown
-4.445,-9.695,unknown
-4.375,-9.695,unknown
-4.305,-9.695,unknown
-4.235,-9.695,unknown
-4.165,-9.695,unknown
-4.095,-9.695,unknown
-4.025,-9.695,unknown
-3.955,-9.695,unknown
-3.885,-9.695,unknown
-3.815,-9.695,unknown
-3.745,-9.695,unknown
-3.675,-9.695,unknown
-3.605,-9.695,unknown
-3.535,-9.695,unknown
-3.465,-9.695,unknown
-3.395,-9.695,unknown
-3.325,-9.695,unknown
-3.255,-9.695,unknown
-3.185,-9.695,unknown
-3.115,-9.695,unknown
-3.045,-9.695,unknown
-2.975,-9.695,unknown
-2.905,-9.695,unknown
-2.835,-9.695,unknown
-2.765,-9.695,unknown
-2.695,-9.695,unknown
-2.625,-9.695,unknown
-2.555,-9.695,unknown
-2.485,-9.695,unknown
-2.415,-9.695,unknown
-2.345,-9.695,unknown
-2.275,-9.695,unknown
-2.205,-9.695,unknown
-2.135,-9.695,unknown
-2.065,-9.695,unknown
-1.995,-9.695,unknown
-1.925,-9.695,unknown
-1.855,-9.695,unknown
-1.785,-9.695,unknown
-1.715,-9.695,unknown
-1.645,-9.695,unknown
-1.575,-9.695,unknown
-1.505,-9.695,unknown
-1.435,-9.695,unknown
-1.365,-9.695,unknown
-1.295,-9.695,unknown
-1.225,-9.695,unknown
-1.155,-9.695,unknown
-1.085,-9.695,unknown
-1.015,-9.695,unknown
-0.945,-9.695,unknown
-0.875,-9.695,unknown
-0.805,-9.695,unknown
-0.735,-9.695,unknown
-0.665,-9.695,unknown
-0.595,-9.695,unknown
-0.525,-9.695,unknown
-0.455,-9.695,unknown
-0.385,-9.695,unknown
-0.315,-9.695,unknown
-0.245,-9.695,unknown
-0.175,-9.695,unknown
-0.105,-9.695,unknown
-0.035,-9.695,unknown
0.035,-9.695,unknown
0.105,-9.695,unknown
0.175,-9.695,unknown
0.245,-9.695,unknown
0.315,-9.695,unknown
0.385,-9.695,unknown
0.455,-9.695,unknown
0.525,-9.695,unknown
0.595,-9.695,unknown
0.665,-9.695,unknown
0.735,-9.695,unknown
0.805,-9.695,unknown
0.875,-9.695,unknown
0.945,-9.695,unknown
1.015,-9.695,unknown
1.085,-9.695,unknown
1.155,-9.695,unknown
1.225,-9.695,unknown
1.295,-9.695,unknown
1.365,-9.695,unknown
1.435,-9.695,unknown
1.505,-9.695,unknown
1.575,-9.695,unknown
1.645,-9.695,unknown
1.715,-9.695,unknown
1.785,-9.695,unknown
1.855,-9.695,unknown
1.925,-9.695,unknown
1.995,-9.695,unknown
2.065,-9.695,unknown
2.135,-9.695,unknown
2.205,-9.695,unknown
2.275,-9.695,unknown
2.345,-9.695,unknown
2.415,-9.695,unknown
